,filename,platform,version,x,y,z,volume,dims,bounds,error
0,build_batch_100_2574_1,java,3465.0,1.0,1.0,1.0,1.0,"('main',)","((0, 0, 0), (1, 1, 1))",
1,build_batch_100_2578_1,java,3465.0,96.0,24.0,128.0,294912.0,"('main',)","((0, 0, 0), (96, 24, 128))",
2,build_batch_100_2587_1,,,,,,,,,exceeded volume limit of 3000000: 12902400 from 448 x 72 x 400
3,build_batch_100_2592_1,java,3465.0,160.0,110.0,111.0,1953600.0,"('main',)","((0, 0, 0), (160, 110, 111))",
4,build_batch_100_2598_1,,,,,,,,,exceeded volume limit of 3000000: 5721600 from 160 x 149 x 240
5,build_batch_101_2600_1,java,3465.0,64.0,35.0,64.0,143360.0,"('main',)","((0, 0, 0), (64, 35, 64))",
6,build_batch_101_2602_1,java,3465.0,48.0,17.0,32.0,26112.0,"('main',)","((0, 0, 0), (48, 17, 32))",
7,build_batch_101_2603_1,java,3465.0,144.0,25.0,144.0,518400.0,"('main',)","((0, 0, 0), (144, 25, 144))",
8,build_batch_101_2605_1,,,,,,,,,exceeded volume limit of 3000000: 20987904 from 336 x 61 x 1024
9,build_batch_101_2606_1,java,3465.0,112.0,2.0,32.0,7168.0,"('main',)","((0, 0, 0), (112, 2, 32))",
10,build_batch_101_2610_1,java,3465.0,32.0,31.0,80.0,79360.0,"('main',)","((0, 0, 0), (32, 31, 80))",
11,build_batch_101_2611_1,java,3465.0,28.0,6.0,672.0,112896.0,"('main',)","((0, 0, 0), (28, 6, 672))",
12,build_batch_101_2616_1,java,3465.0,144.0,38.0,160.0,875520.0,"('main',)","((0, 0, 0), (144, 38, 160))",
13,build_batch_101_2618_1,java,3465.0,96.0,13.0,64.0,79872.0,"('main',)","((0, 0, 0), (96, 13, 64))",
14,build_batch_101_2619_1,java,3465.0,1.0,1.0,1.0,1.0,"('main',)","((0, 0, 0), (1, 1, 1))",
15,build_batch_102_2628_1,java,3465.0,144.0,24.0,144.0,497664.0,"('main',)","((0, 0, 0), (144, 24, 144))",
16,build_batch_102_2629_1,,,,,,,,,exceeded volume limit of 3000000: 20987904 from 336 x 61 x 1024
17,build_batch_102_2631_1,java,3465.0,144.0,20.0,64.0,184320.0,"('main',)","((0, 0, 0), (144, 20, 64))",
18,build_batch_102_2633_1,,,,,,,,,exceeded volume limit of 3000000: 126873600 from 944 x 105 x 1280
19,build_batch_102_2633_2,java,3465.0,16.0,2.0,160.0,5120.0,"('main',)","((0, 0, 0), (16, 2, 160))",
20,build_batch_102_2635_1,java,3465.0,176.0,51.0,128.0,1148928.0,"('main',)","((0, 0, 0), (176, 51, 128))",
21,build_batch_102_2635_2,java,3465.0,128.0,2.0,96.0,24576.0,"('main',)","((0, 0, 0), (128, 2, 96))",
