Block,total_occurences,sample_occurences
minecraft:air,6386779191,18973
minecraft:dirt,426260367,17577
minecraft:grass_block,121590117,16460
minecraft:coarse_dirt,1464126,951
minecraft:green_concrete,121431,163
minecraft:green_wool,528273,1390
minecraft:cyan_terracotta,1462902,868
minecraft:oak_leaves,41707027,10298
minecraft:dark_oak_leaves,6267000,1110
minecraft:green_glazed_terracotta,20492,58
minecraft:grass,14273267,12930
minecraft:spruce_planks,3070202,3483
minecraft:oak_log,5264176,10739
minecraft:brick_stairs,240953,1118
minecraft:oak_slab,593611,2924
minecraft:spruce_stairs,686415,2803
minecraft:spruce_slab,668711,2556
minecraft:flower_pot,26780,1831
minecraft:yellow_stained_glass,34117,311
minecraft:birch_leaves,10937972,5755
minecraft:lime_stained_glass,47828,254
minecraft:white_carpet,99146,1414
minecraft:red_carpet,119082,1298
minecraft:birch_planks,1731485,2304
minecraft:oak_trapdoor,232317,4053
minecraft:grass_path,115484,336
minecraft:large_fern,216019,2362
minecraft:stone_button,109184,3831
minecraft:quartz_slab,1001425,2493
minecraft:iron_bars,703766,3808
minecraft:quartz_pillar,741364,1441
minecraft:light_gray_terracotta,1665433,685
minecraft:quartz_block,6835078,2806
minecraft:quartz_stairs,707099,2595
minecraft:dark_oak_slab,391264,1261
minecraft:white_stained_glass_pane,197170,881
minecraft:stone_bricks,11418696,4497
minecraft:red_tulip,22359,840
minecraft:orange_tulip,19162,751
minecraft:azure_bluet,77688,3037
minecraft:cobblestone_wall,610459,2641
minecraft:lilac,28504,2040
minecraft:birch_door,13044,556
minecraft:white_stained_glass,307361,808
minecraft:dark_oak_door,32394,882
minecraft:gray_terracotta,891474,567
minecraft:dark_oak_stairs,290933,1246
minecraft:white_tulip,18894,743
minecraft:chiseled_quartz_block,517965,1049
minecraft:end_rod,32300,537
minecraft:bone_block,63587,181
minecraft:white_terracotta,2060014,885
minecraft:dark_oak_wood,28906,84
minecraft:anvil,66205,2013
minecraft:player_head,5335,154
minecraft:potted_oak_sapling,5774,500
minecraft:brown_terracotta,1948156,540
minecraft:oak_stairs,1103228,4655
minecraft:spruce_log,3894579,5266
minecraft:bricks,2101979,2025
minecraft:oak_button,36198,1478
minecraft:spruce_leaves,14588563,4340
minecraft:snow,9243507,3435
minecraft:dark_oak_planks,1230059,1347
minecraft:potted_azure_bluet,359,110
minecraft:white_wool,3915927,3391
minecraft:white_concrete,5649806,495
minecraft:jungle_planks,621615,1384
minecraft:red_wool,1129381,3220
minecraft:oak_wall_sign,172328,5334
minecraft:light_gray_wall_banner,2323,77
minecraft:glass_pane,1012933,4183
minecraft:player_wall_head,1230,73
minecraft:glowstone,1967562,5245
minecraft:brown_carpet,33070,700
minecraft:light_gray_carpet,91806,943
minecraft:mushroom_stem,26009,58
minecraft:iron_trapdoor,41954,792
minecraft:cobblestone_stairs,645851,3191
minecraft:cobblestone,8254904,6091
minecraft:tripwire_hook,16293,1469
minecraft:snow_block,4590378,1133
minecraft:acacia_log,236256,1125
minecraft:light_gray_wool,1499560,1608
minecraft:sea_lantern,205927,958
minecraft:stone_brick_stairs,1588246,3954
minecraft:coal_block,536791,805
minecraft:bookshelf,354321,3809
minecraft:ladder,180337,4055
minecraft:birch_stairs,155998,1603
minecraft:spruce_wood,51438,127
