Sample,volume,x,y,z,density
build_batch_100_2574_1,1.0,1.0,1.0,1.0,0.9142578987871649
build_batch_100_2578_1,294912.0,96.0,24.0,128.0,1.601936938201763
build_batch_100_2592_1,1953600.0,160.0,110.0,111.0,1.6017317182115587
build_batch_101_2600_1,143360.0,64.0,35.0,64.0,2.0331822699750783
build_batch_101_2602_1,26112.0,48.0,17.0,32.0,1.529079128529219
build_batch_101_2603_1,518400.0,144.0,25.0,144.0,1.5105942754803754
build_batch_101_2606_1,7168.0,112.0,2.0,32.0,3.764373014816448
build_batch_101_2610_1,79360.0,32.0,31.0,80.0,1.809568949122319
build_batch_101_2611_1,112896.0,28.0,6.0,672.0,1.0975065068910759
build_batch_101_2616_1,875520.0,144.0,38.0,160.0,1.2724376358986649
build_batch_101_2618_1,79872.0,96.0,13.0,64.0,2.767281417483802
build_batch_101_2619_1,1.0,1.0,1.0,1.0,0.9142578987871649
build_batch_102_2628_1,497664.0,144.0,24.0,144.0,1.4507276732565202
build_batch_102_2631_1,184320.0,144.0,20.0,64.0,2.004920778963862
build_batch_102_2633_2,5120.0,16.0,2.0,160.0,2.901001648424117
build_batch_102_2635_1,1148928.0,176.0,51.0,128.0,1.8250884896721777
build_batch_102_2635_2,24576.0,128.0,2.0,96.0,3.200260278450221
build_batch_102_2635_3,14336.0,112.0,2.0,64.0,3.2002602784502208
build_batch_102_2635_4,15360.0,80.0,2.0,96.0,3.200260278450221
build_batch_102_2635_5,61440.0,128.0,2.0,240.0,3.200260278450221
build_batch_102_2636_1,207360.0,96.0,27.0,80.0,1.9558226562436682
build_batch_102_2637_1,1651200.0,160.0,43.0,240.0,1.5793349481308745
build_batch_102_2639_1,61440.0,64.0,15.0,64.0,2.033809903184819
build_batch_102_2639_2,27648.0,48.0,18.0,32.0,1.9788401825317044
build_batch_102_2640_1,225280.0,160.0,44.0,32.0,1.5520719049489131
build_batch_102_2641_1,497664.0,144.0,24.0,144.0,1.3936619935238308
build_batch_102_2642_1,299520.0,96.0,39.0,80.0,1.5217057812297714
build_batch_102_2642_2,589824.0,144.0,32.0,128.0,1.444825547594378
build_batch_102_2647_2,516096.0,96.0,24.0,224.0,1.7108375269240832
